-1.000	0.900	0.950	0.000	0.050	-0.050	0.100	-0.100
1.921	0.900	0.950	0.000	0.050	-0.050	0.100	-0.100
2.849	0.900	0.950	0.000	0.050	-0.050	0.100	-0.100
3.603	0.900	0.950	0.000	0.050	-0.050	0.100	-0.100
4.033	0.900	0.950	0.000	0.050	-0.050	0.100	-0.100
4.496	0.900	0.950	0.000	0.050	-0.050	0.100	-0.100
5.527	0.900	0.950	0.000	0.050	-0.050	0.100	-0.100
7.780	0.900	0.950	0.000	0.050	-0.050	0.100	-0.100
8.883	0.900	0.950	0.000	0.050	-0.050	0.100	-0.100
10.015	1.000	1.000	0.400	0.250	-0.450	0.500	-0.100
11.489	1.000	1.000	0.400	0.250	-0.450	0.500	-0.100
13.355	0.900	0.950	0.000	0.050	-0.050	0.100	1.000
17.464	0.900	0.950	0.000	0.050	-0.050	0.100	1.000
18.484	1.000	0.950	0.000	0.050	-0.050	0.100	-0.100
19.484	1.000	0.950	0.000	0.050	-0.050	0.100	-0.100
19.484	0.900	0.950	0.000	0.050	-0.050	0.100	-0.100
21.872	0.900	0.950	0.000	0.050	-0.050	0.100	-0.100
21.872	1.000	0.950	0.000	0.050	-0.050	0.100	-0.100
28.696	1.000	0.950	0.000	0.050	-0.050	0.100	-0.100
29.448	0.900	0.950	0.000	0.050	-0.050	0.100	-0.100
29.877	0.900	0.950	0.000	0.050	-0.050	0.100	-0.100
30.026	0.900	0.950	0.000	0.050	-0.050	0.100	-0.100
31.665	0.900	0.950	0.000	0.050	-0.050	0.100	-0.100
31.665	1.000	0.950	0.000	0.050	-0.050	0.100	-0.100
33.623	1.000	0.950	0.000	0.050	-0.050	0.100	-0.100
33.623	1.000	1.000	0.400	0.250	-0.450	0.500	-0.100
37.741	1.000	1.000	0.400	0.250	-0.450	0.500	-0.100
37.741	1.000	0.950	0.000	0.050	-0.050	0.100	-0.100
40.382	1.000	0.950	0.000	0.050	-0.050	0.100	-0.100
42.031	0.900	0.950	0.000	0.050	-0.050	0.100	-0.100
42.980	0.900	0.950	0.000	0.050	-0.050	0.100	-0.100
43.747	0.900	0.950	0.000	0.050	-0.050	0.100	-0.100
44.352	0.900	0.950	0.000	0.050	-0.050	0.100	-0.100
44.620	0.900	0.950	0.000	0.050	-0.050	0.100	-0.100
46.061	0.900	0.950	0.000	0.050	-0.050	0.100	-0.100
46.061	1.000	1.000	0.400	0.250	-0.450	0.500	-0.100
47.401	1.000	1.000	0.400	0.250	-0.450	0.500	-0.100
