-1.000	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
1.921	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
2.849	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
2.849	1.000	0.900	0.450	0.550	-0.400	0.600	0.850
5.527	1.000	0.900	0.450	0.550	-0.400	0.600	0.850
5.527	0.800	1.000	0.850	0.950	-0.800	1.000	0.850
11.489	0.800	1.000	0.850	0.950	-0.800	1.000	0.850
13.355	0.500	0.900	0.450	0.550	-0.400	0.600	1.000
17.464	0.500	0.900	0.450	0.550	-0.400	0.600	1.000
17.464	1.000	0.900	0.450	0.550	-0.400	0.600	0.850
19.484	1.000	0.900	0.450	0.550	-0.400	0.600	0.850
19.802	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
20.085	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
21.224	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
21.872	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
25.361	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
25.708	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
26.511	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
28.696	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
29.448	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
29.877	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
30.026	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
31.665	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
31.665	1.000	0.900	0.450	0.550	-0.400	0.600	0.850
33.623	1.000	0.900	0.450	0.550	-0.400	0.600	0.850
35.258	0.700	1.000	0.850	0.950	-0.800	1.000	0.850
36.416	0.700	1.000	0.850	0.950	-0.800	1.000	0.850
37.741	1.000	0.900	0.450	0.550	-0.400	0.600	0.850
40.382	1.000	0.900	0.450	0.550	-0.400	0.600	0.850
42.031	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
42.980	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
43.747	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
44.352	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
44.620	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
46.061	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
46.061	0.700	1.000	0.850	0.950	-0.800	1.000	0.850
47.401	0.700	1.000	0.850	0.950	-0.800	1.000	0.850
