-1.000	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
1.921	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
2.849	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
3.603	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
4.033	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
4.496	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
5.527	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
7.780	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
8.883	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
10.489	1.000	1.000	0.850	0.750	-0.800	1.000	0.850
11.489	1.000	1.000	0.850	0.750	-0.800	1.000	0.850
12.603	0.900	0.900	0.450	0.550	-0.400	0.600	0.850
13.603	0.900	0.900	0.450	0.550	-0.400	0.600	0.850
14.551	0.900	0.900	0.450	0.550	-0.400	0.600	0.850
15.551	0.900	0.900	0.450	0.550	-0.400	0.600	0.850
15.709	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
17.464	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
18.484	0.900	0.900	0.450	0.550	-0.400	0.600	0.850
19.484	0.900	0.900	0.450	0.550	-0.400	0.600	0.850
19.484	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
21.872	0.500	0.900	0.450	0.550	-0.400	0.600	0.850
21.872	0.800	0.900	0.450	0.550	-0.400	0.600	0.850
28.696	0.800	0.900	0.450	0.550	-0.400	0.600	0.850
30.665	0.900	0.900	0.450	0.550	-0.400	0.600	0.850
31.665	0.900	0.900	0.450	0.550	-0.400	0.600	0.850
31.665	0.800	0.900	0.450	0.550	-0.400	0.600	0.850
33.623	0.800	0.900	0.450	0.550	-0.400	0.600	0.850
33.623	1.000	1.000	0.850	0.750	-0.800	1.000	0.850
37.741	1.000	1.000	0.850	0.750	-0.800	1.000	0.850
37.741	0.800	0.900	0.450	0.550	-0.400	0.600	0.850
40.382	0.800	0.900	0.450	0.550	-0.400	0.600	0.850
40.382	0.800	0.900	0.450	0.550	-0.400	0.600	0.850
46.061	0.800	0.900	0.450	0.550	-0.400	0.600	0.850
46.401	1.000	1.000	0.850	0.750	-0.800	1.000	0.850
47.401	1.000	1.000	0.850	0.750	-0.800	1.000	0.850
